metric,mouse_id,event_name,tw_start_min,tw_end_min,value,n_cells
mouse_all_cell_spearman_pairwise_correlation,250731_z254-6,immobile,-45,0,0.006253825,51
mouse_all_cell_spearman_pairwise_correlation,250801_z253-4,immobile,-45,0,0.00480126,137
mouse_all_cell_spearman_pairwise_correlation,250828_z254-3,immobile,-45,0,0.016889363,43
mouse_all_cell_spearman_pairwise_correlation,251223_z255-2,immobile,-45,0,0.007003434,95
mouse_all_cell_spearman_pairwise_correlation,260120_z255-4,immobile,-45,0,0.006249178,217
mouse_all_cell_spearman_pairwise_correlation,260123_z286-2,immobile,-45,0,0.013840588,119
mouse_all_cell_spearman_pairwise_correlation,260219_z303-1,immobile,-45,0,0.012168936,77
mouse_all_cell_spearman_pairwise_correlation,250722_z253-2*,immobile,-45,0,0.021032361,75
mouse_all_cell_spearman_pairwise_correlation,260205_z286-1*,immobile,-45,0,0.025719212,202
mouse_all_cell_spearman_pairwise_correlation,250724_z253-4,immobile,0,45,0.008811633,214
mouse_all_cell_spearman_pairwise_correlation,250731_z254-6,immobile,0,45,0.005435577,51
mouse_all_cell_spearman_pairwise_correlation,250801_z253-4,immobile,0,45,0.002692092,137
mouse_all_cell_spearman_pairwise_correlation,250828_z254-3,immobile,0,45,0.005248359,43
mouse_all_cell_spearman_pairwise_correlation,251223_z255-2,immobile,0,45,0.005765486,95
mouse_all_cell_spearman_pairwise_correlation,260120_z255-4,immobile,0,45,0.003703516,217
mouse_all_cell_spearman_pairwise_correlation,260123_z286-2,immobile,0,45,0.004336898,119
mouse_all_cell_spearman_pairwise_correlation,260219_z303-1,immobile,0,45,0.006315717,77
mouse_all_cell_spearman_pairwise_correlation,250722_z253-2*,immobile,0,45,0.010330716,75
mouse_all_cell_spearman_pairwise_correlation,260205_z286-1*,immobile,0,45,0.016500113,202
mouse_all_cell_spearman_pairwise_correlation,250724_z253-4,immobile,45,120,0.010970909,214
mouse_all_cell_spearman_pairwise_correlation,250731_z254-6,immobile,45,120,0.006671621,51
mouse_all_cell_spearman_pairwise_correlation,250801_z253-4,immobile,45,120,0.005128748,137
mouse_all_cell_spearman_pairwise_correlation,250828_z254-3,immobile,45,120,0.003684863,43
mouse_all_cell_spearman_pairwise_correlation,251223_z255-2,immobile,45,120,0.012772963,95
mouse_all_cell_spearman_pairwise_correlation,260120_z255-4,immobile,45,120,0.002630304,217
mouse_all_cell_spearman_pairwise_correlation,260123_z286-2,immobile,45,120,0.004744656,119
mouse_all_cell_spearman_pairwise_correlation,260219_z303-1,immobile,45,120,0.020300756,77
mouse_all_cell_spearman_pairwise_correlation,250722_z253-2*,immobile,45,120,0.008019479,75
mouse_all_cell_spearman_pairwise_correlation,260205_z286-1*,immobile,45,120,0.013958624,202
mouse_all_cell_spearman_pairwise_correlation,250724_z253-4,mobile,-45,0,0.00755056,214
mouse_all_cell_spearman_pairwise_correlation,250731_z254-6,mobile,-45,0,0.016610276,51
mouse_all_cell_spearman_pairwise_correlation,250801_z253-4,mobile,-45,0,0.005065637,137
mouse_all_cell_spearman_pairwise_correlation,250828_z254-3,mobile,-45,0,0.009979627,43
mouse_all_cell_spearman_pairwise_correlation,251223_z255-2,mobile,-45,0,0.009050505,95
mouse_all_cell_spearman_pairwise_correlation,260120_z255-4,mobile,-45,0,0.013938032,217
mouse_all_cell_spearman_pairwise_correlation,260123_z286-2,mobile,-45,0,0.013372756,119
mouse_all_cell_spearman_pairwise_correlation,260219_z303-1,mobile,-45,0,0.008864263,77
mouse_all_cell_spearman_pairwise_correlation,250722_z253-2*,mobile,-45,0,0.022176793,75
mouse_all_cell_spearman_pairwise_correlation,260205_z286-1*,mobile,-45,0,0.008987035,202
mouse_all_cell_spearman_pairwise_correlation,250724_z253-4,mobile,0,45,0.006869876,214
mouse_all_cell_spearman_pairwise_correlation,250731_z254-6,mobile,0,45,0.011603134,51
mouse_all_cell_spearman_pairwise_correlation,250801_z253-4,mobile,0,45,0.008470174,137
mouse_all_cell_spearman_pairwise_correlation,250828_z254-3,mobile,0,45,0.00520545,43
mouse_all_cell_spearman_pairwise_correlation,251223_z255-2,mobile,0,45,0.007346988,95
mouse_all_cell_spearman_pairwise_correlation,260120_z255-4,mobile,0,45,0.011261806,217
mouse_all_cell_spearman_pairwise_correlation,260123_z286-2,mobile,0,45,0.011477917,119
mouse_all_cell_spearman_pairwise_correlation,260219_z303-1,mobile,0,45,0.009368386,77
mouse_all_cell_spearman_pairwise_correlation,250722_z253-2*,mobile,0,45,0.016206146,75
mouse_all_cell_spearman_pairwise_correlation,260205_z286-1*,mobile,0,45,0.007722262,202
mouse_all_cell_spearman_pairwise_correlation,250724_z253-4,mobile,45,120,0.006135952,214
mouse_all_cell_spearman_pairwise_correlation,250731_z254-6,mobile,45,120,0.009396863,51
mouse_all_cell_spearman_pairwise_correlation,250801_z253-4,mobile,45,120,0.007289751,137
mouse_all_cell_spearman_pairwise_correlation,250828_z254-3,mobile,45,120,0.007593734,43
mouse_all_cell_spearman_pairwise_correlation,251223_z255-2,mobile,45,120,0.014098164,95
mouse_all_cell_spearman_pairwise_correlation,260120_z255-4,mobile,45,120,0.007205466,217
mouse_all_cell_spearman_pairwise_correlation,260123_z286-2,mobile,45,120,0.003345595,119
mouse_all_cell_spearman_pairwise_correlation,260219_z303-1,mobile,45,120,0.027555125,77
mouse_all_cell_spearman_pairwise_correlation,250722_z253-2*,mobile,45,120,0.01102582,75
mouse_all_cell_spearman_pairwise_correlation,260205_z286-1*,mobile,45,120,0.00988085,202
participation_ratio_norm_all_cells,250724_z253-4,immobile,-45,0,0.069110896,214
participation_ratio_norm_all_cells,250731_z254-6,immobile,-45,0,0.154361503,51
participation_ratio_norm_all_cells,250801_z253-4,immobile,-45,0,0.139200195,137
participation_ratio_norm_all_cells,250828_z254-3,immobile,-45,0,0.268249282,43
participation_ratio_norm_all_cells,251223_z255-2,immobile,-45,0,0.179933876,95
participation_ratio_norm_all_cells,260120_z255-4,immobile,-45,0,0.055785957,217
participation_ratio_norm_all_cells,260123_z286-2,immobile,-45,0,0.12164835,119
participation_ratio_norm_all_cells,260219_z303-1,immobile,-45,0,0.221107961,77
participation_ratio_norm_all_cells,250722_z253-2*,immobile,-45,0,0.176135823,75
participation_ratio_norm_all_cells,260205_z286-1*,immobile,-45,0,0.073898132,202
participation_ratio_norm_all_cells,250724_z253-4,immobile,0,45,0.069957384,214
participation_ratio_norm_all_cells,250731_z254-6,immobile,0,45,0.259896446,51
participation_ratio_norm_all_cells,250801_z253-4,immobile,0,45,0.182882569,137
participation_ratio_norm_all_cells,250828_z254-3,immobile,0,45,0.381277955,43
participation_ratio_norm_all_cells,251223_z255-2,immobile,0,45,0.184208239,95
participation_ratio_norm_all_cells,260120_z255-4,immobile,0,45,0.043478695,217
participation_ratio_norm_all_cells,260123_z286-2,immobile,0,45,0.219271565,119
participation_ratio_norm_all_cells,260219_z303-1,immobile,0,45,0.263071932,77
participation_ratio_norm_all_cells,250722_z253-2*,immobile,0,45,0.239987998,75
participation_ratio_norm_all_cells,260205_z286-1*,immobile,0,45,0.065242389,202
participation_ratio_norm_all_cells,250724_z253-4,immobile,45,120,0.076122268,214
participation_ratio_norm_all_cells,250731_z254-6,immobile,45,120,0.234055479,51
participation_ratio_norm_all_cells,250801_z253-4,immobile,45,120,0.164244553,137
participation_ratio_norm_all_cells,250828_z254-3,immobile,45,120,0.407459334,43
participation_ratio_norm_all_cells,251223_z255-2,immobile,45,120,0.102911942,95
participation_ratio_norm_all_cells,260120_z255-4,immobile,45,120,0.060660945,217
participation_ratio_norm_all_cells,260123_z286-2,immobile,45,120,0.157747276,119
participation_ratio_norm_all_cells,260219_z303-1,immobile,45,120,0.195283004,77
participation_ratio_norm_all_cells,250722_z253-2*,immobile,45,120,0.253232851,75
participation_ratio_norm_all_cells,260205_z286-1*,immobile,45,120,0.051226135,202
participation_ratio_norm_all_cells,250724_z253-4,mobile,-45,0,0.056345411,214
participation_ratio_norm_all_cells,250731_z254-6,mobile,-45,0,0.150576934,51
participation_ratio_norm_all_cells,250801_z253-4,mobile,-45,0,0.05809021,137
participation_ratio_norm_all_cells,250828_z254-3,mobile,-45,0,0.181418211,43
participation_ratio_norm_all_cells,251223_z255-2,mobile,-45,0,0.116476015,95
participation_ratio_norm_all_cells,260120_z255-4,mobile,-45,0,0.028016159,217
participation_ratio_norm_all_cells,260123_z286-2,mobile,-45,0,0.085192636,119
participation_ratio_norm_all_cells,260219_z303-1,mobile,-45,0,0.116212909,77
participation_ratio_norm_all_cells,250722_z253-2*,mobile,-45,0,0.127594303,75
participation_ratio_norm_all_cells,260205_z286-1*,mobile,-45,0,0.056097439,202
participation_ratio_norm_all_cells,250724_z253-4,mobile,0,45,0.077867283,214
participation_ratio_norm_all_cells,250731_z254-6,mobile,0,45,0.217320941,51
participation_ratio_norm_all_cells,250801_z253-4,mobile,0,45,0.124621654,137
participation_ratio_norm_all_cells,250828_z254-3,mobile,0,45,0.345539041,43
participation_ratio_norm_all_cells,251223_z255-2,mobile,0,45,0.143636896,95
participation_ratio_norm_all_cells,260120_z255-4,mobile,0,45,0.029575748,217
participation_ratio_norm_all_cells,260123_z286-2,mobile,0,45,0.113680375,119
participation_ratio_norm_all_cells,260219_z303-1,mobile,0,45,0.237203807,77
participation_ratio_norm_all_cells,250722_z253-2*,mobile,0,45,0.167737632,75
participation_ratio_norm_all_cells,260205_z286-1*,mobile,0,45,0.078498125,202
participation_ratio_norm_all_cells,250724_z253-4,mobile,45,120,0.078356942,214
participation_ratio_norm_all_cells,250731_z254-6,mobile,45,120,0.255588109,51
participation_ratio_norm_all_cells,250801_z253-4,mobile,45,120,0.128916058,137
participation_ratio_norm_all_cells,250828_z254-3,mobile,45,120,0.344908813,43
participation_ratio_norm_all_cells,251223_z255-2,mobile,45,120,0.043945512,95
participation_ratio_norm_all_cells,260120_z255-4,mobile,45,120,0.027477427,217
participation_ratio_norm_all_cells,260123_z286-2,mobile,45,120,0.105070993,119
participation_ratio_norm_all_cells,260219_z303-1,mobile,45,120,0.110915104,77
participation_ratio_norm_all_cells,250722_z253-2*,mobile,45,120,0.201529677,75
participation_ratio_norm_all_cells,260205_z286-1*,mobile,45,120,0.055801067,202
pca_pc50_norm_all_cells,250724_z253-4,immobile,-45,0,0.06682243,214
pca_pc50_norm_all_cells,250731_z254-6,immobile,-45,0,0.173529412,51
pca_pc50_norm_all_cells,250801_z253-4,immobile,-45,0,0.099635036,137
pca_pc50_norm_all_cells,250828_z254-3,immobile,-45,0,0.187209302,43
pca_pc50_norm_all_cells,251223_z255-2,immobile,-45,0,0.123684211,95
pca_pc50_norm_all_cells,260120_z255-4,immobile,-45,0,0.06843318,217
pca_pc50_norm_all_cells,260123_z286-2,immobile,-45,0,0.104621849,119
pca_pc50_norm_all_cells,260219_z303-1,immobile,-45,0,0.142857143,77
pca_pc50_norm_all_cells,250722_z253-2*,immobile,-45,0,0.137333333,75
pca_pc50_norm_all_cells,260205_z286-1*,immobile,-45,0,0.069059406,202
pca_pc50_norm_all_cells,250724_z253-4,immobile,0,45,0.066588785,214
pca_pc50_norm_all_cells,250731_z254-6,immobile,0,45,0.187254902,51
pca_pc50_norm_all_cells,250801_z253-4,immobile,0,45,0.101094891,137
pca_pc50_norm_all_cells,250828_z254-3,immobile,0,45,0.205813953,43
pca_pc50_norm_all_cells,251223_z255-2,immobile,0,45,0.124736842,95
pca_pc50_norm_all_cells,260120_z255-4,immobile,0,45,0.06797235,217
pca_pc50_norm_all_cells,260123_z286-2,immobile,0,45,0.11092437,119
pca_pc50_norm_all_cells,260219_z303-1,immobile,0,45,0.144155844,77
pca_pc50_norm_all_cells,250722_z253-2*,immobile,0,45,0.146666667,75
pca_pc50_norm_all_cells,260205_z286-1*,immobile,0,45,0.071287129,202
pca_pc50_norm_all_cells,250724_z253-4,immobile,45,120,0.067990654,214
pca_pc50_norm_all_cells,250731_z254-6,immobile,45,120,0.182352941,51
pca_pc50_norm_all_cells,250801_z253-4,immobile,45,120,0.099270073,137
pca_pc50_norm_all_cells,250828_z254-3,immobile,45,120,0.204651163,43
pca_pc50_norm_all_cells,251223_z255-2,immobile,45,120,0.114736842,95
pca_pc50_norm_all_cells,260120_z255-4,immobile,45,120,0.068663594,217
pca_pc50_norm_all_cells,260123_z286-2,immobile,45,120,0.108823529,119
pca_pc50_norm_all_cells,260219_z303-1,immobile,45,120,0.138311688,77
pca_pc50_norm_all_cells,250722_z253-2*,immobile,45,120,0.146,75
pca_pc50_norm_all_cells,260205_z286-1*,immobile,45,120,0.07029703,202
pca_pc50_norm_all_cells,250724_z253-4,mobile,-45,0,0.063785047,214
pca_pc50_norm_all_cells,250731_z254-6,mobile,-45,0,0.169607843,51
pca_pc50_norm_all_cells,250801_z253-4,mobile,-45,0,0.090875912,137
pca_pc50_norm_all_cells,250828_z254-3,mobile,-45,0,0.18372093,43
pca_pc50_norm_all_cells,251223_z255-2,mobile,-45,0,0.115263158,95
pca_pc50_norm_all_cells,260120_z255-4,mobile,-45,0,0.056912442,217
pca_pc50_norm_all_cells,260123_z286-2,mobile,-45,0,0.094117647,119
pca_pc50_norm_all_cells,260219_z303-1,mobile,-45,0,0.132467532,77
pca_pc50_norm_all_cells,250722_z253-2*,mobile,-45,0,0.124,75
pca_pc50_norm_all_cells,260205_z286-1*,mobile,-45,0,0.065594059,202
pca_pc50_norm_all_cells,250724_z253-4,mobile,0,45,0.067757009,214
pca_pc50_norm_all_cells,250731_z254-6,mobile,0,45,0.185294118,51
pca_pc50_norm_all_cells,250801_z253-4,mobile,0,45,0.096715328,137
pca_pc50_norm_all_cells,250828_z254-3,mobile,0,45,0.206976744,43
pca_pc50_norm_all_cells,251223_z255-2,mobile,0,45,0.119473684,95
pca_pc50_norm_all_cells,260120_z255-4,mobile,0,45,0.057142857,217
pca_pc50_norm_all_cells,260123_z286-2,mobile,0,45,0.100420168,119
pca_pc50_norm_all_cells,260219_z303-1,mobile,0,45,0.140909091,77
pca_pc50_norm_all_cells,250722_z253-2*,mobile,0,45,0.134666667,75
pca_pc50_norm_all_cells,260205_z286-1*,mobile,0,45,0.07029703,202
pca_pc50_norm_all_cells,250724_z253-4,mobile,45,120,0.067523364,214
pca_pc50_norm_all_cells,250731_z254-6,mobile,45,120,0.182352941,51
pca_pc50_norm_all_cells,250801_z253-4,mobile,45,120,0.095255474,137
pca_pc50_norm_all_cells,250828_z254-3,mobile,45,120,0.202325581,43
pca_pc50_norm_all_cells,251223_z255-2,mobile,45,120,0.095263158,95
pca_pc50_norm_all_cells,260120_z255-4,mobile,45,120,0.057834101,217
pca_pc50_norm_all_cells,260123_z286-2,mobile,45,120,0.098739496,119
pca_pc50_norm_all_cells,260219_z303-1,mobile,45,120,0.12012987,77
pca_pc50_norm_all_cells,250722_z253-2*,mobile,45,120,0.138666667,75
pca_pc50_norm_all_cells,260205_z286-1*,mobile,45,120,0.067079208,202
